MGO2WIN_SKILLS	1
SKILL	1	1	1	HANDGUN MASTERY	ハンドガンマスタリー
SKILL	1	2	2	HANDGUN MASTERY	ハンドガンマスタリー
SKILL	1	3	3	HANDGUN MASTERY	ハンドガンマスタリー
SKILL	2	1	1	SMG MASTERY	サブマシンガンマスタリー
SKILL	2	2	2	SMG MASTERY	サブマシンガンマスタリー
SKILL	2	3	3	SMG MASTERY	サブマシンガンマスタリー
SKILL	3	1	1	ASSLT. R. MASTERY	アサルトライフルマスタリー
SKILL	3	2	2	ASSLT. R. MASTERY	アサルトライフルマスタリー
SKILL	3	3	3	ASSLT. R. MASTERY	アサルトライフルマスタリー
SKILL	4	1	1	SHOTGUN MASTERY	ショットガンマスタリー
SKILL	4	2	2	SHOTGUN MASTERY	ショットガンマスタリー
SKILL	4	3	3	SHOTGUN MASTERY	ショットガンマスタリー
SKILL	5	1	1	SNIPER R. MASTERY	スナイパーライフルマスタリー
SKILL	5	2	2	SNIPER R. MASTERY	スナイパーライフルマスタリー
SKILL	5	3	3	SNIPER R. MASTERY	スナイパーライフルマスタリー
SKILL	6	1	1	HAWKEYE	ホークアイ
SKILL	6	2	1	HAWKEYE	ホークアイ
SKILL	6	3	1	HAWKEYE	ホークアイ
SKILL	7	1	1	SURVEYOR	サーベイヤー
SKILL	7	2	2	SURVEYOR	サーベイヤー
SKILL	7	3	3	SURVEYOR	サーベイヤー
SKILL	8	1	1	QUARTERBACK	クォーターバック
SKILL	8	2	1	QUARTERBACK	クォーターバック
SKILL	8	3	1	QUARTERBACK	クォーターバック
SKILL	9	1	1	TRICKSTER	トリックスター
SKILL	9	2	1	TRICKSTER	トリックスター
SKILL	9	3	1	TRICKSTER	トリックスター
SKILL	10	1	1	CQC MASTERY	CQCマスタリー
SKILL	10	2	2	CQC MASTERY	CQCマスタリー
SKILL	10	3	3	CQC MASTERY	CQCマスタリー
SKILL	11	1	1	BLADES	ブレード
SKILL	11	2	2	BLADES	ブレード
SKILL	11	3	3	BLADES	ブレード
SKILL	12	1	1	FAST MOV	ファストムーブ
SKILL	12	2	2	FAST MOV	ファストムーブ
SKILL	12	3	3	FAST MOV	ファストムーブ
SKILL	13	1	1	MONOMANIA	モノマニア
SKILL	13	2	1	MONOMANIA	モノマニア
SKILL	13	3	1	MONOMANIA	モノマニア
SKILL	14	1	1	SIXTH SENSE	シックスセンス
SKILL	14	2	1	SIXTH SENSE	シックスセンス
SKILL	14	3	1	SIXTH SENSE	シックスセンス
SKILL	15	1	1	NARC	ナーク
SKILL	15	2	2	NARC	ナーク
SKILL	15	3	3	NARC	ナーク
SKILL	16	1	1	SCANNING	スキャニング
SKILL	16	2	1	SCANNING	スキャニング
SKILL	16	3	1	SCANNING	スキャニング
SKILL	17	1	1	INSTRUCTOR	インストラクター
SKILL	17	2	1	INSTRUCTOR	インストラクター
SKILL	17	3	1	INSTRUCTOR	インストラクター
SKILL	18	1	1	QUICK RECOVERY	クイックリカバリー
SKILL	18	2	2	QUICK RECOVERY	クイックリカバリー
SKILL	18	3	3	QUICK RECOVERY	クイックリカバリー
SKILL	19	1	1	BOX MOVE	ボックスムーブ
SKILL	19	2	2	BOX MOVE	ボックスムーブ
SKILL	19	3	3	BOX MOVE	ボックスムーブ
SKILL	20	1	4	CQC EX	CQC EX
SKILL	20	2	4	CQC EX	CQC EX
SKILL	20	3	4	CQC EX	CQC EX
SKILL	21	1	1	SHIELD MASTERY	シールドマスタリー
SKILL	21	2	1	SHIELD MASTERY	シールドマスタリー
SKILL	21	3	1	SHIELD MASTERY	シールドマスタリー
SKILL	22	1	3	SCANNING EX	スキャニングEX
SKILL	22	2	3	SCANNING EX	スキャニングEX
SKILL	22	3	3	SCANNING EX	スキャニングEX
SKILL	23	1	1	SOP STEALTH	SOPステルス
SKILL	23	2	1	SOP STEALTH	SOPステルス
SKILL	23	3	2	SOP STEALTH	SOPステルス
SKILL	24	1	1	TOUGHNESS	タフネス
SKILL	24	2	2	TOUGHNESS	タフネス
SKILL	24	3	3	TOUGHNESS	タフネス
SKILL	25	1	1	CHARM	チャーム
SKILL	25	2	1	CHARM	チャーム
SKILL	25	3	1	CHARM	チャーム
