# Original MGO2 metadata extracted from reviewed GCX and ELF.
# Ordinary TDM subset. Unique/variant eligibility not yet recovered is withheld.
# Costs exclude attachments; ? means unverified.
# Evidence: notes/WEAPON_CATALOG_20260912.md
MGO2MT_WEAPON_CATALOG	1
INITIAL_DP	1000
WEAPON	PRIMARY	0	NONE	0	0	?
WEAPON	PRIMARY	23	SKORPION	0	1	23
WEAPON	PRIMARY	20	P90	2000	1	20
WEAPON	PRIMARY	18	MP5	2000	0	18
WEAPON	PRIMARY	25	AK102	1000	1	25
WEAPON	PRIMARY	24	M4	2000	1	24
WEAPON	PRIMARY	30	MK17	2000	0	30
WEAPON	PRIMARY	31	XM8	3500	0	31
WEAPON	PRIMARY	26	G3A3	3500	0	26
WEAPON	PRIMARY	44	DRAGNOV	500	1	44
WEAPON	PRIMARY	43	MOSIN N	0	1	43
WEAPON	PRIMARY	42	M14EBR	2500	0	42
WEAPON	PRIMARY	39	VSS	2500	0	39
WEAPON	PRIMARY	41	DSR1	7000	0	41
WEAPON	PRIMARY	37	M870	750	1	37
WEAPON	PRIMARY	38	SAIGA	4500	0	38
WEAPON	PRIMARY	35	M60E4	5000	0	35
WEAPON	PRIMARY	73	SHIELD	0	1	73
WEAPON	PRIMARY	50	RPG7	20000	0	50
WEAPON	SECONDARY	0	NONE	0	0	?
WEAPON	SECONDARY	7	SIG GSR	0	1	7
WEAPON	SECONDARY	2	RUGER	0	1	2
WEAPON	SECONDARY	3	OPERATOR	0	0	3
WEAPON	SECONDARY	15	GLOCK	1250	0	15
WEAPON	SECONDARY	4	SOCOM	2500	0	4
WEAPON	SECONDARY	8	D EAGLE	3000	0	8
WEAPON	SUPPORT	0	NONE	0	0	?
WEAPON	SUPPORT	52	GRENADE	0	1	52
WEAPON	SUPPORT	53	WP G	500	0	53
WEAPON	SUPPORT	54	STUN G	0	1	54
WEAPON	SUPPORT	55	CHAFF G	500	1	55
WEAPON	SUPPORT	56	SMOKE G	0	1	56
WEAPON	SUPPORT	57	SMOKE G.(R)	500	0	57
WEAPON	SUPPORT	58	SMOKE G.(G)	500	0	58
WEAPON	SUPPORT	59	SMOKE G.(Y)	500	0	59
WEAPON	SUPPORT	63	EMP GRENADE	1500	0	63
WEAPON	SUPPORT	64	CLAYMORE	750	1	64
WEAPON	SUPPORT	65	SLEEP CLAYMORE	1500	0	65
WEAPON	SUPPORT	66	C4	1000	0	66
WEAPON	SUPPORT	67	SLEEP C4	1250	0	67
WEAPON	SUPPORT	69	BOOK	0	1	69
